age_cat,dates_diff_in_days,ethnicity,score_text,sex
young,345,Caucasian,Medium,Male
young,202,Caucasian,Medium,Male
young,284,African-American,Medium,Male
senior,191,African-American,Low,Female
young,421,African-American,Low,Female
adult,88,African-American,Medium,Female
adult,195,Caucasian,Low,Male
young,265,African-American,High,Male
adult,361,African-American,High,Male
adult,360,African-American,High,Male
adult,458,African-American,Medium,Male
senior,217,Asian,Low,Female
adult,264,African-American,High,Female
adult,368,Caucasian,Low,Male
senior,219,Hispanic,Low,Male
adult,501,Caucasian,Low,Male
adult,164,African-American,Low,Male
young,73,African-American,Medium,Female
adult,101,African-American,Low,Male
senior,59,African-American,Low,Male
adult,63,Caucasian,High,Female
senior,176,African-American,High,Male
young,468,African-American,Medium,Male
senior,407,African-American,Low,Male
adult,76,Caucasian,Low,Male
adult,180,African-American,Low,Male
adult,242,African-American,Low,Female
senior,297,African-American,Low,Male
adult,62,Caucasian,Low,Male
adult,142,African-American,High,Male
young,820,African-American,Medium,Male
adult,21,Caucasian,Low,Male
adult,48,Hispanic,Low,Male
adult,19,African-American,High,Male
adult,354,Caucasian,Low,Female
young,141,African-American,Medium,Male
adult,128,Caucasian,Medium,Male
adult,606,African-American,Low,Male
young,238,Caucasian,Medium,Male
senior,772,African-American,Low,Male
adult,26,African-American,Low,Male
young,108,Caucasian,High,Male
adult,101,African-American,High,Male
young,159,Caucasian,High,Female
adult,89,Caucasian,Low,Female
adult,39,African-American,High,Male
senior,262,African-American,High,Male
senior,1083,African-American,High,Male
young,35,African-American,Medium,Male
adult,168,African-American,High,Male
young,1010,Other,Medium,Male
senior,170,Caucasian,Medium,Male
adult,431,African-American,High,Male
adult,67,African-American,Medium,Male
senior,210,Caucasian,Low,Male
senior,26,African-American,Medium,Male
young,70,African-American,Low,Male
adult,946,African-American,High,Male
senior,1117,Caucasian,Low,Male
adult,450,African-American,Low,Male
adult,228,Caucasian,Low,Male
adult,1080,African-American,Medium,Female
adult,467,Caucasian,Low,Male
adult,50,African-American,High,Male
adult,338,African-American,Low,Male
young,761,Caucasian,Low,Male
young,380,African-American,High,Female
adult,78,Caucasian,Medium,Male
young,218,African-American,Medium,Male
young,885,Caucasian,Medium,Male
young,1044,African-American,High,Female
adult,89,African-American,Medium,Male
adult,37,African-American,High,Male
adult,452,African-American,High,Male
young,230,Caucasian,Low,Male
adult,22,Hispanic,Low,Female
young,206,African-American,Medium,Male
adult,393,Caucasian,High,Male
adult,139,Hispanic,Low,Male
adult,106,African-American,Medium,Male
adult,101,African-American,Low,Female
adult,216,African-American,High,Male
adult,251,Caucasian,Medium,Female
young,351,African-American,Low,Male
adult,373,African-American,Medium,Male
adult,18,Caucasian,Low,Male
adult,370,Caucasian,Low,Male
adult,192,Other,Low,Male
adult,275,African-American,Low,Male
adult,63,African-American,High,Male
young,461,African-American,Medium,Female
adult,32,African-American,High,Female
adult,385,African-American,High,Male
young,398,Caucasian,Low,Male
adult,191,African-American,Medium,Male
young,26,Caucasian,Low,Male
adult,702,African-American,Medium,Male
senior,681,Hispanic,Low,Male
adult,432,Caucasian,Medium,Female
young,155,African-American,High,Female
adult,333,African-American,Low,Male
adult,2,African-American,Medium,Male
adult,126,African-American,Medium,Male
adult,48,African-American,High,Male
adult,309,Other,High,Male
adult,249,African-American,High,Male
adult,149,African-American,Medium,Male
adult,326,African-American,High,Male
senior,150,Other,Low,Female
senior,199,Caucasian,Low,Male
adult,850,Caucasian,Low,Male
adult,646,Caucasian,High,Male
young,689,African-American,Medium,Male
adult,356,Caucasian,Low,Male
young,229,Caucasian,High,Male
young,54,Other,Low,Male
adult,514,African-American,Medium,Male
young,1139,African-American,High,Male
adult,947,African-American,Low,Male
adult,402,African-American,Medium,Male
adult,70,African-American,Low,Female
adult,284,Caucasian,Medium,Female
adult,369,Other,Low,Male
adult,453,African-American,High,Male
young,261,African-American,Medium,Male
young,148,African-American,High,Male
adult,40,African-American,Medium,Male
adult,354,Caucasian,Low,Female
adult,63,African-American,Medium,Male
adult,33,Caucasian,Low,Male
adult,96,African-American,Medium,Male
young,246,African-American,Low,Male
young,456,Native American,Medium,Male
young,693,African-American,High,Female
adult,244,African-American,Medium,Male
senior,883,African-American,Medium,Male
adult,204,African-American,High,Male
young,177,African-American,Low,Male
young,53,Caucasian,Low,Male
senior,53,Caucasian,Low,Male
young,86,African-American,Medium,Male
young,252,African-American,High,Male
young,275,African-American,High,Male
adult,62,African-American,High,Male
adult,671,Caucasian,Medium,Male
young,12,Caucasian,High,Female
adult,254,African-American,Low,Female
adult,749,African-American,High,Male
adult,260,Caucasian,Low,Male
young,125,African-American,Medium,Male
adult,402,Caucasian,Low,Male
senior,54,African-American,Medium,Male
adult,1164,African-American,High,Male
young,432,Caucasian,High,Male
adult,208,Caucasian,High,Female
young,758,Other,Low,Male
adult,580,Other,Medium,Male
young,835,African-American,Medium,Male
adult,81,Hispanic,High,Male
young,905,African-American,Medium,Female
adult,57,African-American,High,Male
adult,200,African-American,Low,Male
adult,174,African-American,Medium,Male
adult,78,African-American,High,Male
adult,144,Hispanic,Medium,Male
senior,281,Caucasian,Low,Male
young,460,African-American,Medium,Male
adult,144,Caucasian,Medium,Male
adult,91,African-American,Medium,Male
young,90,Caucasian,High,Male
adult,66,African-American,Low,Male
adult,104,African-American,Medium,Female
adult,284,Hispanic,Low,Male
young,328,African-American,High,Male
young,644,African-American,Medium,Female
senior,1056,Caucasian,High,Male
young,6,African-American,High,Male
adult,793,Caucasian,Low,Male
adult,118,Caucasian,Low,Male
young,61,African-American,Medium,Male
young,419,African-American,Medium,Male
adult,728,African-American,High,Male
adult,26,African-American,Low,Male
adult,43,African-American,Low,Male
young,133,Caucasian,Low,Male
adult,53,Caucasian,Low,Male
adult,1090,African-American,Low,Male
adult,97,Hispanic,Low,Male
adult,41,African-American,High,Male
senior,491,African-American,High,Female
young,988,Caucasian,High,Male
young,54,African-American,Low,Male
young,1582,African-American,Medium,Female
senior,175,Caucasian,Medium,Male
adult,363,African-American,High,Male
adult,458,African-American,Low,Male
adult,230,African-American,High,Male
adult,541,Hispanic,Low,Male
adult,371,African-American,Low,Male
young,862,African-American,High,Male
adult,299,Hispanic,Low,Male
adult,236,African-American,Medium,Male
senior,410,African-American,Low,Male
adult,42,Caucasian,Medium,Male
senior,181,Caucasian,Medium,Male
senior,246,Caucasian,Low,Male
young,115,African-American,High,Male
adult,35,Other,Low,Male
young,85,Caucasian,Medium,Male
adult,150,Hispanic,Low,Male
adult,575,Caucasian,Medium,Male
senior,963,African-American,Medium,Male
senior,300,African-American,Low,Male
senior,432,African-American,Low,Male
adult,66,Caucasian,Low,Male
adult,161,African-American,High,Male
senior,168,Caucasian,High,Female
adult,182,African-American,Medium,Male
young,369,African-American,Medium,Male
young,608,Caucasian,Medium,Male
adult,645,Caucasian,Low,Male
adult,32,African-American,Medium,Male
senior,191,Caucasian,Low,Male
young,256,African-American,Medium,Female
adult,288,African-American,High,Male
senior,106,Caucasian,Low,Male
young,62,African-American,Medium,Male
adult,107,African-American,High,Male
young,244,African-American,Low,Male
adult,91,African-American,High,Male
adult,260,African-American,Medium,Male
young,12,Hispanic,Low,Male
young,25,Caucasian,High,Male
adult,841,African-American,Low,Male
adult,481,African-American,Medium,Male
senior,329,African-American,Low,Male
young,94,African-American,Medium,Female
young,88,African-American,High,Female
adult,21,African-American,High,Male
adult,31,Caucasian,Low,Male
senior,347,African-American,Low,Male
adult,25,African-American,Low,Male
adult,514,African-American,Low,Male
young,237,African-American,Medium,Male
adult,375,Hispanic,Medium,Male
senior,513,Caucasian,Low,Male
adult,121,Caucasian,Medium,Male
adult,205,Caucasian,Low,Male
adult,307,Other,High,Male
senior,481,Other,Low,Male
young,276,African-American,Medium,Male
young,374,African-American,High,Female
adult,187,Caucasian,Medium,Male
senior,499,Hispanic,Medium,Male
adult,32,Caucasian,Medium,Female
young,662,African-American,Medium,Male
adult,83,Caucasian,High,Female
adult,752,African-American,Low,Male
adult,98,African-American,High,Male
adult,210,African-American,Medium,Male
young,190,African-American,High,Male
young,313,Hispanic,High,Male
adult,76,African-American,High,Male
senior,351,Caucasian,Low,Male
adult,530,African-American,Medium,Male
adult,935,Caucasian,Low,Male
adult,66,Caucasian,High,Male
adult,487,African-American,Low,Male
senior,204,Caucasian,Medium,Female
adult,432,African-American,High,Male
adult,68,Caucasian,Medium,Female
young,363,African-American,High,Male
adult,523,African-American,Low,Male
senior,96,Caucasian,High,Female
young,311,African-American,High,Male
adult,297,African-American,Medium,Female
adult,459,African-American,Medium,Male
adult,170,African-American,Low,Male
young,44,African-American,Low,Male
adult,449,Hispanic,Medium,Male
adult,148,Hispanic,Low,Male
adult,632,African-American,Low,Male
young,538,Caucasian,Medium,Female
adult,211,Other,Medium,Male
young,394,Hispanic,Low,Male
young,149,African-American,Low,Male
adult,583,African-American,High,Male
senior,964,Caucasian,Low,Male
adult,55,Caucasian,Low,Male
adult,292,Caucasian,Low,Male
senior,485,African-American,Low,Male
young,60,African-American,Medium,Male
young,295,Caucasian,Medium,Female
adult,240,Caucasian,Medium,Male
young,100,African-American,High,Male
young,283,Caucasian,Low,Male
senior,454,Caucasian,Medium,Male
young,25,Caucasian,Medium,Male
adult,565,Caucasian,Medium,Male
young,594,African-American,Medium,Male
senior,177,Caucasian,Low,Female
adult,348,African-American,High,Male
adult,32,African-American,Medium,Male
adult,51,Caucasian,Medium,Male
adult,198,African-American,Low,Male
young,410,Caucasian,High,Male
adult,445,Caucasian,High,Male
senior,14,Caucasian,Medium,Male
young,571,African-American,Low,Female
adult,73,Caucasian,High,Male
adult,530,African-American,Low,Male
young,335,African-American,Medium,Male
senior,534,Caucasian,Medium,Male
adult,166,Hispanic,Low,Male
senior,563,African-American,High,Male
adult,37,African-American,Low,Female
adult,540,Caucasian,Medium,Male
adult,440,African-American,High,Male
senior,85,African-American,Low,Male
adult,45,Caucasian,Medium,Male
young,16,African-American,Medium,Male
adult,99,African-American,Medium,Female
adult,260,African-American,Low,Male
senior,39,Caucasian,Low,Male
young,68,African-American,High,Male
adult,584,African-American,High,Male
adult,199,African-American,High,Male
adult,425,Hispanic,Low,Male
young,152,Caucasian,High,Male
adult,482,African-American,High,Male
young,49,African-American,High,Female
young,300,African-American,Medium,Male
senior,1069,Caucasian,Low,Male
senior,42,African-American,High,Male
adult,312,African-American,Low,Male
young,323,Caucasian,Low,Male
young,294,African-American,High,Male
young,301,African-American,Medium,Male
senior,573,Caucasian,Low,Male
adult,441,African-American,Low,Male
adult,505,Caucasian,Low,Male
adult,92,African-American,Low,Male
young,135,African-American,High,Male
senior,618,African-American,Low,Male
adult,84,African-American,High,Male
young,32,African-American,High,Male
adult,401,Caucasian,Medium,Male
adult,247,Caucasian,Low,Female
adult,260,African-American,High,Male
adult,139,African-American,Medium,Male
adult,43,Caucasian,Medium,Male
senior,115,Caucasian,Low,Male
adult,59,African-American,High,Male
young,466,African-American,Medium,Male
young,62,African-American,High,Male
young,171,African-American,Medium,Male
young,253,African-American,Low,Female
adult,760,Caucasian,Low,Male
adult,238,African-American,Low,Male
adult,65,Caucasian,Medium,Female
adult,930,African-American,Low,Male
young,46,Caucasian,Low,Male
adult,196,Caucasian,Low,Male
young,336,African-American,High,Male
adult,61,Other,Low,Male
young,122,African-American,Medium,Male
senior,173,Caucasian,Medium,Male
senior,696,Caucasian,Low,Male
adult,1046,Caucasian,High,Male
adult,108,African-American,High,Male
adult,43,Caucasian,Low,Male
adult,651,Caucasian,Low,Male
adult,913,Asian,High,Male
young,132,African-American,Medium,Female
adult,390,African-American,Low,Male
young,306,Caucasian,Medium,Male
adult,144,Caucasian,Medium,Male
young,114,African-American,High,Male
adult,147,Caucasian,Medium,Male
adult,138,African-American,Low,Male
adult,801,African-American,Medium,Male
adult,589,African-American,Medium,Male
senior,452,Caucasian,Medium,Male
adult,192,African-American,Low,Male
senior,73,African-American,Low,Male
senior,342,African-American,Medium,Male
young,227,Hispanic,High,Male
adult,134,Caucasian,Medium,Female
adult,305,African-American,Medium,Male
young,214,Caucasian,Medium,Female
young,125,African-American,High,Male
adult,296,African-American,High,Male
adult,49,African-American,High,Male
adult,398,African-American,Medium,Male
senior,363,Other,Low,Male
adult,837,African-American,High,Male
young,198,African-American,Medium,Male
adult,33,Hispanic,Low,Male
adult,366,Other,Low,Male
adult,95,African-American,High,Female
young,148,African-American,High,Male
adult,108,Caucasian,High,Male
adult,414,Hispanic,High,Male
young,94,African-American,Medium,Male
adult,289,African-American,Low,Female
adult,17,Caucasian,High,Male
adult,46,Caucasian,Low,Female
young,126,African-American,Low,Male
senior,321,Caucasian,High,Male
adult,668,African-American,High,Male
adult,704,Caucasian,Medium,Male
adult,460,African-American,High,Male
senior,778,Caucasian,High,Male
adult,729,Caucasian,Medium,Female
adult,693,Other,Low,Male
adult,3,Hispanic,Medium,Male
young,31,Hispanic,Medium,Male
young,572,African-American,Low,Male
adult,148,African-American,High,Male
senior,35,Hispanic,Low,Male
young,24,African-American,Low,Male
adult,195,Caucasian,High,Male
adult,166,Caucasian,Low,Male
young,166,Hispanic,Medium,Male
adult,323,African-American,High,Male
adult,1634,African-American,Medium,Male
adult,94,Caucasian,High,Female
adult,79,Caucasian,High,Female
senior,91,African-American,Medium,Male
adult,14,Caucasian,Medium,Female
adult,5,African-American,High,Male
adult,135,African-American,High,Male
young,674,Other,Medium,Male
adult,98,Caucasian,High,Female
adult,22,Other,High,Male
adult,25,Caucasian,Low,Male
adult,181,African-American,Medium,Male
adult,590,African-American,Low,Male
young,144,African-American,Low,Male
adult,549,Caucasian,Medium,Female
adult,982,Caucasian,Low,Female
senior,461,African-American,Low,Male
young,599,Caucasian,Low,Male
senior,1164,Caucasian,Low,Male
senior,181,African-American,High,Female
adult,15,African-American,High,Male
young,391,Caucasian,Low,Male
young,309,African-American,Medium,Male
adult,561,African-American,High,Male
adult,133,Caucasian,Medium,Male
young,18,African-American,High,Male
adult,483,African-American,High,Male
senior,369,Caucasian,Low,Female
young,295,African-American,Low,Male
young,517,African-American,High,Male
adult,165,African-American,Medium,Male
adult,79,Hispanic,High,Male
adult,768,African-American,Medium,Male
senior,454,Caucasian,Low,Female
adult,466,Caucasian,Medium,Female
senior,139,African-American,Low,Male
young,5,African-American,High,Male
adult,111,Caucasian,Low,Male
adult,570,African-American,High,Male
adult,176,African-American,High,Male
adult,195,African-American,Low,Male
senior,319,African-American,Low,Male
adult,598,African-American,High,Male
adult,473,African-American,High,Male
young,30,African-American,Medium,Male
senior,275,Caucasian,Low,Male
senior,61,Caucasian,Medium,Male
young,579,African-American,Low,Male
adult,704,African-American,High,Male
adult,481,Other,Low,Male
adult,140,African-American,Low,Male
young,288,African-American,Medium,Male
senior,511,African-American,High,Male
young,13,African-American,Medium,Male
adult,805,African-American,Medium,Male
adult,224,African-American,Low,Male
young,183,African-American,High,Male
adult,51,Caucasian,High,Male
young,564,Caucasian,Low,Male
adult,21,African-American,Medium,Male
adult,108,African-American,High,Male
young,871,African-American,Medium,Female
adult,245,African-American,Medium,Male
senior,487,Caucasian,Low,Male
adult,188,Caucasian,Medium,Male
adult,44,Other,Low,Male
young,153,Hispanic,Medium,Male
adult,725,African-American,Medium,Male
adult,201,African-American,High,Male
adult,261,African-American,High,Male
adult,250,Caucasian,Medium,Male
young,292,African-American,High,Female
young,155,African-American,Medium,Female
senior,388,Caucasian,Low,Male
adult,433,African-American,High,Male
adult,3,Caucasian,Low,Male
adult,365,Caucasian,Medium,Female
adult,383,Caucasian,Low,Female
adult,133,African-American,High,Male
young,877,African-American,Medium,Male
adult,770,Caucasian,Low,Female
adult,321,Caucasian,High,Male
senior,22,Caucasian,Low,Male
senior,255,Other,Medium,Male
adult,34,Hispanic,Low,Male
senior,152,Caucasian,Low,Male
adult,210,African-American,Medium,Female
adult,91,Caucasian,Low,Male
adult,56,African-American,Low,Male
adult,84,African-American,Medium,Male
adult,502,Caucasian,High,Male
adult,205,Caucasian,Low,Male
senior,1039,African-American,Medium,Male
adult,268,Caucasian,Medium,Female
adult,494,Caucasian,Low,Female
young,57,African-American,Medium,Male
adult,7,Caucasian,Low,Female
adult,311,African-American,Low,Male
adult,1039,African-American,Low,Female
adult,741,African-American,Low,Male
young,303,African-American,High,Male
young,25,African-American,High,Male
adult,202,Hispanic,High,Male
young,68,African-American,Medium,Male
young,167,African-American,Medium,Male
adult,130,African-American,Low,Male
adult,65,African-American,Medium,Male
adult,284,Hispanic,Medium,Male
senior,57,Other,Low,Male
adult,349,African-American,Medium,Female
young,499,African-American,Medium,Female
senior,41,Caucasian,Low,Male
adult,448,African-American,Low,Female
adult,316,Hispanic,Medium,Male
young,278,African-American,Low,Male
adult,139,African-American,High,Male
adult,850,African-American,Low,Male
adult,83,African-American,High,Male
young,127,African-American,High,Male
young,264,African-American,High,Male
senior,94,Caucasian,Low,Male
adult,344,African-American,High,Female
young,946,Other,Low,Male
young,592,Caucasian,High,Male
adult,6,African-American,Low,Male
young,313,African-American,Low,Male
adult,66,Caucasian,Low,Female
adult,68,African-American,Low,Female
adult,187,Caucasian,Low,Male
adult,280,African-American,Low,Male
young,9,African-American,Medium,Male
adult,140,Hispanic,Low,Male
adult,972,African-American,High,Male
adult,57,Caucasian,High,Male
young,117,Caucasian,Medium,Male
young,549,Caucasian,Low,Male
young,165,African-American,Medium,Male
adult,687,Other,High,Male
adult,602,African-American,Low,Male
young,368,African-American,Medium,Male
senior,205,Caucasian,Low,Male
adult,333,African-American,Medium,Female
young,749,African-American,High,Male
young,565,Hispanic,Low,Male
young,706,Caucasian,Low,Male
young,65,African-American,Medium,Male
adult,228,African-American,High,Male
adult,104,Caucasian,High,Male
adult,598,Caucasian,Low,Female
young,319,African-American,High,Male
adult,844,African-American,Low,Male
young,133,Hispanic,High,Male
adult,16,Caucasian,Medium,Male
adult,79,African-American,Low,Male
adult,151,African-American,Medium,Male
adult,130,African-American,Low,Male
young,116,African-American,Medium,Male
adult,298,African-American,Medium,Male
young,29,Hispanic,Low,Female
senior,60,African-American,Medium,Male
young,467,Caucasian,Low,Male
adult,863,Caucasian,Medium,Male
young,180,African-American,High,Male
adult,59,Caucasian,Medium,Male
adult,170,African-American,Medium,Male
adult,259,African-American,Low,Female
young,486,Hispanic,Low,Male
senior,193,African-American,Medium,Male
adult,336,African-American,High,Male
senior,103,Caucasian,Low,Male
adult,510,Other,Low,Male
senior,178,Caucasian,Low,Male
young,18,African-American,High,Male
young,122,African-American,Medium,Male
young,654,African-American,Low,Male
adult,437,Caucasian,Low,Female
senior,134,African-American,High,Male
young,174,African-American,Low,Male
senior,251,Caucasian,Medium,Male
adult,108,African-American,Medium,Male
senior,149,Caucasian,Low,Male
adult,758,Other,Low,Male
adult,601,African-American,High,Male
adult,111,African-American,Low,Male
young,466,African-American,Low,Male
adult,84,Other,High,Male
young,477,Caucasian,High,Male
adult,82,African-American,High,Male
adult,41,Other,Low,Female
adult,1072,African-American,High,Male
adult,191,Other,Low,Male
adult,368,Hispanic,Low,Male
young,812,African-American,Medium,Male
young,357,Caucasian,High,Female
adult,257,Hispanic,Low,Male
adult,337,Caucasian,Low,Male
adult,39,African-American,Low,Female
senior,26,Hispanic,Low,Female
adult,64,African-American,Medium,Female
senior,247,African-American,Low,Male
senior,83,African-American,High,Male
adult,319,Caucasian,Low,Male
adult,475,Other,Low,Male
young,290,African-American,Low,Male
adult,340,African-American,High,Male
adult,147,African-American,High,Male
adult,56,African-American,Low,Male
young,89,Hispanic,Medium,Male
young,742,Caucasian,Medium,Male
adult,26,African-American,High,Male
adult,46,Caucasian,Low,Male
senior,780,Caucasian,Low,Male
young,153,African-American,Low,Male
adult,336,African-American,Medium,Male
young,38,African-American,Low,Male
adult,363,African-American,Medium,Male
adult,315,Caucasian,Medium,Male
adult,38,Caucasian,High,Male
adult,219,African-American,Medium,Male
adult,36,Caucasian,Low,Male
young,538,Caucasian,Low,Male
adult,338,Caucasian,Low,Male
young,355,African-American,Medium,Male
adult,294,African-American,Medium,Male
adult,157,African-American,High,Female
adult,456,Other,Low,Male
young,275,African-American,Medium,Male
senior,99,African-American,High,Male
senior,348,Caucasian,Low,Female
young,207,African-American,High,Male
young,579,Caucasian,High,Male
adult,494,Caucasian,Medium,Female
senior,104,Hispanic,High,Male
adult,256,Caucasian,Medium,Male
young,378,African-American,High,Male
senior,298,African-American,Medium,Male
senior,420,African-American,Low,Male
adult,200,African-American,Low,Female
adult,3,Caucasian,Low,Male
senior,23,African-American,Low,Male
adult,5,Caucasian,Low,Male
adult,610,African-American,Medium,Male
adult,7,African-American,High,Male
senior,21,Native American,High,Male
adult,341,African-American,High,Female
senior,107,African-American,Low,Male
adult,343,African-American,Medium,Female
adult,144,Caucasian,High,Female
senior,183,Other,Low,Male
adult,253,African-American,Low,Male
senior,795,Caucasian,Medium,Male
adult,425,Other,Low,Male
young,91,African-American,Low,Male
adult,223,Hispanic,Low,Male
young,755,Caucasian,Low,Male
adult,19,African-American,High,Male
adult,118,African-American,Medium,Male
adult,530,African-American,High,Female
senior,620,Other,Low,Female
adult,204,African-American,High,Male
adult,640,Caucasian,Low,Male
senior,254,African-American,Low,Male
adult,487,African-American,Medium,Male
adult,123,African-American,Medium,Male
adult,1117,African-American,High,Male
adult,349,African-American,High,Male
adult,769,Other,Medium,Male
adult,567,African-American,Medium,Male
adult,41,African-American,Medium,Male
young,254,African-American,Low,Male
senior,104,Caucasian,Medium,Male
young,42,African-American,Medium,Male
young,160,African-American,Medium,Male
young,157,Caucasian,Low,Male
young,270,Hispanic,Medium,Male
adult,138,African-American,Medium,Male
young,464,African-American,High,Male
adult,46,African-American,Medium,Male
adult,210,Caucasian,Medium,Male
adult,67,African-American,Medium,Male
young,177,African-American,Medium,Male
senior,2,African-American,Medium,Male
adult,370,African-American,High,Female
adult,482,African-American,Low,Male
adult,120,African-American,Medium,Male
adult,586,Caucasian,High,Male
adult,206,Hispanic,Medium,Male
adult,86,Caucasian,Medium,Male
adult,842,African-American,Low,Male
young,161,Caucasian,High,Male
young,40,African-American,Low,Male
senior,362,African-American,Medium,Female
young,187,African-American,Medium,Female
young,98,African-American,Medium,Male
adult,228,Caucasian,Low,Male
adult,71,Hispanic,Low,Female
adult,266,African-American,Low,Female
adult,68,Caucasian,Medium,Female
adult,317,Hispanic,Medium,Female
adult,166,Caucasian,Low,Male
senior,19,Caucasian,Low,Male
adult,107,African-American,Low,Male
adult,947,Caucasian,Medium,Male
senior,411,Caucasian,Medium,Male
young,65,Caucasian,High,Male
adult,12,African-American,High,Male
adult,155,Caucasian,Low,Female
young,48,African-American,High,Female
adult,72,African-American,High,Male
adult,112,African-American,High,Male
senior,70,African-American,Low,Male
adult,53,Caucasian,Low,Male
adult,384,African-American,Low,Male
young,10,Caucasian,Low,Male
young,119,Caucasian,High,Male
young,238,African-American,Medium,Male
young,281,African-American,Medium,Male
young,45,African-American,Medium,Male
adult,375,African-American,Low,Female
adult,739,Other,Medium,Female
adult,39,African-American,Low,Male
adult,45,African-American,Medium,Male
adult,79,African-American,Low,Male
young,390,African-American,High,Male
adult,59,Caucasian,Low,Male
adult,859,African-American,Medium,Male
adult,779,African-American,Medium,Female
young,11,African-American,Low,Male
senior,933,Hispanic,Low,Male
senior,689,African-American,High,Male
young,284,African-American,High,Male
young,161,African-American,Medium,Male
adult,637,African-American,Low,Male
adult,253,African-American,Medium,Male
adult,154,African-American,Medium,Male
adult,260,African-American,Low,Male
adult,146,Caucasian,Low,Male
young,352,African-American,Medium,Male
senior,559,Caucasian,Low,Male
adult,397,African-American,Low,Male
adult,181,African-American,Medium,Female
young,76,Caucasian,High,Male
young,674,African-American,Low,Male
adult,9,African-American,High,Male
young,453,African-American,Medium,Female
adult,150,African-American,Low,Male
senior,529,Other,Low,Male
adult,77,African-American,Low,Male
adult,384,Caucasian,Medium,Male
adult,173,African-American,Medium,Male
senior,890,Other,Low,Male
young,443,Hispanic,Low,Male
adult,129,African-American,High,Female
adult,639,African-American,High,Male
adult,568,African-American,Low,Female
adult,628,African-American,Medium,Male
senior,26,Caucasian,Medium,Male
adult,124,Hispanic,Low,Male
adult,227,Caucasian,Low,Male
adult,830,African-American,Medium,Male
adult,849,Caucasian,Low,Female
adult,154,African-American,High,Male
senior,421,Caucasian,Low,Male
senior,810,African-American,Low,Male
adult,127,Caucasian,Low,Male
senior,623,African-American,Medium,Female
senior,4300,African-American,Low,Male
young,59,African-American,High,Male
senior,4,African-American,Low,Male
young,3,African-American,High,Male
adult,366,African-American,Low,Male
adult,141,African-American,Low,Male
adult,896,African-American,Low,Male
senior,53,African-American,Medium,Male
adult,234,African-American,Low,Male
young,219,Caucasian,Medium,Male
senior,215,African-American,Low,Male
adult,109,African-American,Low,Male
adult,959,African-American,Low,Male
adult,431,Caucasian,High,Female
adult,377,African-American,Low,Female
adult,591,Hispanic,High,Male
young,70,Caucasian,Medium,Male
senior,172,African-American,High,Male
young,14,African-American,High,Male
adult,279,African-American,High,Male
young,187,African-American,High,Male
young,603,Caucasian,Low,Male
senior,34,Caucasian,Low,Female
adult,76,African-American,Medium,Male
adult,355,Caucasian,Low,Male
adult,290,Caucasian,High,Male
adult,336,African-American,High,Male
adult,21,African-American,Medium,Male
young,133,African-American,High,Male
adult,82,African-American,High,Female
adult,492,Caucasian,Low,Male
young,595,African-American,Low,Male
senior,157,African-American,Low,Male
senior,152,African-American,Medium,Male
adult,261,African-American,Medium,Female
senior,127,Caucasian,Medium,Male
young,60,African-American,High,Male
adult,232,African-American,Medium,Male
adult,101,African-American,Medium,Female
young,188,African-American,Low,Male
young,493,African-American,Low,Female
adult,364,Caucasian,Low,Female
young,797,African-American,Low,Male
young,481,Caucasian,High,Male
adult,43,Caucasian,Low,Male
young,176,African-American,High,Male
senior,267,African-American,Low,Male
young,481,African-American,Medium,Female
senior,311,African-American,Low,Male
young,483,Other,Low,Male
young,221,African-American,Medium,Male
adult,318,African-American,Medium,Male
young,258,African-American,Low,Male
adult,45,Caucasian,Low,Female
adult,69,African-American,Low,Male
senior,231,African-American,Low,Male
senior,422,African-American,High,Male
senior,54,African-American,Low,Female
adult,115,African-American,Medium,Male
adult,649,Caucasian,Low,Male
young,558,African-American,Medium,Male
young,181,Caucasian,Medium,Male
adult,857,Other,Low,Female
adult,180,Caucasian,High,Male
adult,199,Caucasian,Medium,Female
adult,143,Caucasian,Low,Male
adult,1372,Hispanic,Low,Male
adult,338,Hispanic,Low,Female
young,247,African-American,High,Male
adult,447,Caucasian,Low,Female
senior,727,Caucasian,Low,Male
senior,319,African-American,Low,Male
adult,264,African-American,Low,Male
adult,20,African-American,Low,Female
adult,547,African-American,Medium,Male
young,80,African-American,High,Male
adult,27,Other,Low,Female
adult,628,African-American,High,Male
senior,1204,Caucasian,Medium,Male
senior,127,Hispanic,Low,Male
young,294,Caucasian,Medium,Female
adult,396,African-American,High,Male
adult,52,Caucasian,Low,Male
adult,307,Hispanic,Medium,Male
adult,368,African-American,Low,Male
adult,81,African-American,Low,Female
adult,1171,African-American,High,Male
adult,266,African-American,Medium,Male
adult,52,African-American,Low,Male
young,36,African-American,High,Male
young,176,African-American,Medium,Male
adult,412,Caucasian,Medium,Male
adult,521,African-American,Low,Male
adult,120,African-American,High,Male
adult,36,Caucasian,Medium,Male
adult,167,African-American,Medium,Male
adult,73,Caucasian,Low,Male
adult,13,African-American,High,Male
young,233,African-American,High,Male
senior,223,African-American,High,Female
adult,493,Hispanic,Low,Male
adult,183,African-American,High,Female
adult,17,African-American,High,Male
young,406,African-American,Low,Male
young,74,Caucasian,High,Female
adult,140,African-American,Medium,Male
adult,670,African-American,Low,Male
young,150,Caucasian,High,Male
senior,16,Other,Low,Male
adult,1058,African-American,High,Male
senior,259,Caucasian,Low,Male
senior,341,Caucasian,High,Male
